WKT,設置場所,利用時間
"POINT (138.1988285 36.5638513)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1996439 36.5638341)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1984264 36.5661106)",屋外公衆電話,終日利用可
"POINT (138.2010056 36.5612954)",公衆電話(車いす可),終日利用可
"POINT (138.1861283 36.5636308)",屋外公衆電話,終日利用可
"POINT (138.1861391 36.5640013)",公衆電話(車いす可),終日利用可
"POINT (138.1855724 36.563971)",屋外公衆電話,終日利用可
"POINT (138.185652 36.5642197)",公衆電話(車いす可),終日利用可
"POINT (138.1993038 36.5678046)",屋内公衆電話,利用不可時間帯あり
"POINT (138.207554 36.5544679)",屋外公衆電話,終日利用可
"POINT (138.2054378 36.5521266)",屋内公衆電話,終日利用可
"POINT (138.2043832 36.5512648)",屋内公衆電話,終日利用可
